"recorded_date","daily_vaccinations_raw","daily_vaccinations","iso_country"
2020-12-03,0,0,"NO"
2020-12-04,0,0,"NO"
2020-12-05,0,0,"NO"
2020-12-06,0,0,"NO"
2020-12-07,0,0,"NO"
2020-12-08,5,1,"NO"
2020-12-09,1,1,"NO"
2020-12-10,1,1,"NO"
2020-12-11,4,2,"NO"
2020-12-12,0,2,"NO"
2020-12-13,0,2,"NO"
2020-12-14,0,2,"NO"
2020-12-14,4426,4426,"US"
2020-12-15,2,1,"NO"
2020-12-15,49166,26796,"US"
2020-12-15,722,722,"CA"
2020-12-16,1,0,"LV"
2020-12-16,159446,71013,"US"
2020-12-16,2298,1510,"CA"
2020-12-16,5,2,"NO"
2020-12-17,1,0,"LV"
2020-12-17,271740,121194,"US"
2020-12-17,4254,2425,"CA"
2020-12-17,8,3,"NO"
2020-12-18,15,4,"NO"
2020-12-18,4,1,"LV"
2020-12-18,4017,2823,"CA"
2020-12-18,414666,179889,"US"
2020-12-19,1071,2472,"CA"
2020-12-19,181684,180188,"US"
2020-12-19,5,5,"NO"
2020-12-20,104906,169433,"US"
2020-12-20,7,6,"NO"
2020-12-20,7385,7385,"IL"
2020-12-20,861,2204,"CA"
2020-12-21,13,8,"NO"
2020-12-21,24910,16148,"IL"
2020-12-21,381945,223365,"US"
2020-12-21,4,2,"LV"
2020-12-21,7845,3010,"CA"
2020-12-22,0,0,"LI"
2020-12-22,14,10,"NO"
2020-12-22,2,2,"CH"
2020-12-22,44642,25646,"IL"
2020-12-22,449100,280498,"US"
2020-12-22,5,3,"LV"
2020-12-22,5789,3734,"CA"
2020-12-23,0,0,"LI"
2020-12-23,17,11,"NO"
2020-12-23,4,3,"LV"
2020-12-23,427,214,"CH"
2020-12-23,574559,339800,"US"
2020-12-23,62901,34960,"IL"
2020-12-23,8685,4646,"CA"
2020-12-24,0,0,"LI"
2020-12-24,10198,5495,"CA"
2020-12-24,11106,11106,"BH"
2020-12-24,12,12,"NO"
2020-12-24,196315,329025,"US"
2020-12-24,265,231,"CH"
2020-12-24,3,3,"LV"
2020-12-24,73410,42650,"IL"
2020-12-25,0,0,"LI"
2020-12-25,0,10,"NO"
2020-12-25,12654,271595,"US"
2020-12-25,2,174,"CH"
2020-12-25,3047,5357,"CA"
2020-12-25,38503,41958,"IL"
2020-12-25,472,5789,"BH"
